Options:
Model:                           Discrete: Dependent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_dep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2780318671
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_dep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q13 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q21 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q24 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q31 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q34 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q42 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q43 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Shape	q12 - Scale	q13 - Shape	q13 - Scale	q21 - Shape	q21 - Scale	q24 - Shape	q24 - Scale	q31 - Shape	q31 - Scale	q34 - Shape	q34 - Scale	q42 - Shape	q42 - Scale	q43 - Shape	q43 - Scale	
15060000	-2191.581793	45	0.155956	0.121210	0.322275	0.301085	0.112801	0.153309	0.121163	0.046836	0.250000	0.250000	0.250000	0.250000	2.472213	0.424038	0.359589	0.621875	6.583593	0.102001	1.184677	1.625247	1.575086	1.998853	0.661702	2.493005	0.616268	4.510938	0.240343	7.118766	
15090000	-2192.124886	45	0.169161	0.155315	0.287209	0.399435	0.117881	0.129185	0.162002	0.038871	0.250000	0.250000	0.250000	0.250000	0.409383	1.328291	2.355418	0.134889	3.507434	0.334188	1.022344	0.503437	2.744318	0.052265	0.481170	0.486706	1.446750	0.207926	0.384380	2.152083	
15120000	-2189.195038	45	0.184065	0.147137	0.278748	0.334905	0.115860	0.170252	0.135541	0.072282	0.250000	0.250000	0.250000	0.250000	6.787548	0.071374	0.843197	0.136861	0.700748	1.900470	1.789600	0.711224	0.242414	0.508643	2.494546	0.825923	2.018012	0.364298	0.736191	5.529594	
15150000	-2189.289897	45	0.183000	0.129294	0.293299	0.289854	0.109735	0.110244	0.127624	0.065263	0.250000	0.250000	0.250000	0.250000	0.832540	1.212289	1.425583	0.151132	0.842204	4.843251	0.941167	2.645848	0.278488	0.122320	0.930841	5.337833	0.622649	0.997824	0.929161	0.108498	
15180000	-2190.698804	45	0.213017	0.135856	0.417139	0.327071	0.092100	0.113250	0.154045	0.040153	0.250000	0.250000	0.250000	0.250000	0.275472	2.252512	2.045254	0.174004	1.530839	2.230121	0.377270	2.857310	2.059965	0.314298	0.783901	0.730666	0.847133	5.579559	0.066528	1.951625	
15210000	-2189.656169	45	0.219614	0.135060	0.334724	0.395238	0.102087	0.131409	0.145799	0.067338	0.250000	0.250000	0.250000	0.250000	0.781296	7.801272	0.206020	3.484454	1.545126	3.167717	1.240877	3.693969	3.341681	0.075616	0.513253	5.736590	1.179735	0.077691	2.871807	0.041862	
15240000	-2188.505844	45	0.155628	0.136984	0.240539	0.285063	0.098548	0.148049	0.139397	0.072091	0.250000	0.250000	0.250000	0.250000	0.821878	6.087841	0.258503	0.610422	2.195710	0.280448	0.543335	3.844195	0.229884	8.540855	0.655542	1.476428	3.763312	0.027232	0.209186	7.032208	
15270000	-2188.294904	45	0.162253	0.133278	0.317268	0.375532	0.103145	0.130998	0.154072	0.053156	0.250000	0.250000	0.250000	0.250000	1.340827	0.320151	0.243488	0.618580	2.129817	0.181452	2.844198	0.154630	1.211657	0.780149	3.328620	0.135483	0.304652	5.631771	0.542580	9.643652	
15300000	-2194.771486	45	0.187553	0.123608	0.251401	0.351619	0.140811	0.113628	0.093840	0.090982	0.250000	0.250000	0.250000	0.250000	1.000904	0.121928	0.880035	6.803423	0.736488	1.180270	3.978701	0.123102	1.734789	0.862808	1.824638	0.460340	1.464832	0.079200	0.518780	2.193426	
15330000	-2192.956225	45	0.163174	0.152183	0.274800	0.462923	0.104343	0.110583	0.180386	0.056506	0.250000	0.250000	0.250000	0.250000	0.672237	0.601841	0.249528	6.923231	1.744454	1.604824	1.619424	5.031145	0.580858	3.737666	0.995332	4.565133	1.268390	0.319937	1.247165	0.097742	
15360000	-2188.531569	45	0.207184	0.122434	0.381459	0.301371	0.101762	0.159870	0.127337	0.062864	0.250000	0.250000	0.250000	0.250000	0.912805	0.108276	0.291885	6.382581	4.384458	0.040296	0.303903	6.698756	0.236949	3.702019	1.062779	0.093691	0.209530	2.797613	0.357632	3.463885	
15390000	-2190.501392	45	0.210853	0.137161	0.310459	0.338278	0.116635	0.131133	0.150859	0.043878	0.250000	0.250000	0.250000	0.250000	0.766663	7.190714	1.194103	1.372304	0.028270	5.785624	1.129510	0.591568	0.574668	9.993560	0.347385	2.709854	3.329123	0.291735	0.281262	2.303731	
15420000	-2186.993630	45	0.179185	0.131656	0.305342	0.342043	0.094926	0.144206	0.139729	0.069820	0.250000	0.250000	0.250000	0.250000	0.237612	6.893249	1.487968	0.369834	0.270499	7.072033	4.939820	0.158028	0.659346	6.526672	0.672625	3.592405	1.090266	8.422083	0.037374	5.554287	
15450000	-2188.787755	45	0.193591	0.128366	0.353561	0.270166	0.092443	0.135280	0.105543	0.049445	0.250000	0.250000	0.250000	0.250000	0.587180	7.779279	1.510086	0.178218	0.562172	7.640988	0.411122	5.986457	0.731696	3.858475	0.147759	3.632615	2.607563	0.071465	0.352294	3.258161	
15480000	-2187.014412	45	0.181095	0.129563	0.296722	0.325412	0.109285	0.136636	0.144318	0.060523	0.250000	0.250000	0.250000	0.250000	0.849567	2.308874	0.897953	0.271766	2.755225	1.008074	7.343970	0.052826	0.414311	4.798532	0.851000	3.268890	0.552166	1.275501	2.609323	0.037495	
15510000	-2190.863939	45	0.189027	0.123757	0.304936	0.448615	0.071631	0.137261	0.192905	0.048515	0.250000	0.250000	0.250000	0.250000	1.495753	0.644536	0.329642	1.587835	1.615409	0.412036	8.449630	0.042568	0.971059	2.793744	0.208397	3.693860	0.432395	1.036663	0.381406	5.234861	
15540000	-2189.599567	45	0.182574	0.140182	0.384519	0.351354	0.105274	0.118828	0.149147	0.048163	0.250000	0.250000	0.250000	0.250000	0.445544	3.974504	0.551808	9.073503	0.736944	3.031131	0.559358	5.270227	0.657542	1.985428	4.594090	0.135395	0.233373	8.828633	0.165998	4.688411	
15570000	-2188.323842	45	0.211616	0.138370	0.415816	0.293933	0.097129	0.160575	0.127995	0.053281	0.250000	0.250000	0.250000	0.250000	0.807794	4.759093	1.120279	0.179919	2.023370	0.260791	1.156086	6.430240	0.380622	3.485496	2.766757	0.238964	0.222064	5.728924	0.310201	5.313554	
15600000	-2189.048478	45	0.159316	0.122865	0.217368	0.315544	0.100339	0.152845	0.139978	0.080848	0.250000	0.250000	0.250000	0.250000	1.653961	2.647056	0.751923	2.255044	1.955970	0.401819	1.387087	1.336498	1.117032	2.723879	4.772968	0.065481	1.560522	0.772760	1.710780	0.125321	
15630000	-2191.685303	45	0.169702	0.146953	0.305268	0.408051	0.138656	0.161746	0.157341	0.061890	0.250000	0.250000	0.250000	0.250000	0.949964	3.297012	1.065566	0.458324	8.453803	0.063809	0.858187	6.146722	0.195954	3.939931	0.563991	1.207297	0.289468	5.406783	0.976328	1.674659	
15660000	-2189.883002	45	0.184514	0.129922	0.306105	0.375074	0.096916	0.103866	0.143414	0.060471	0.250000	0.250000	0.250000	0.250000	3.242628	0.565020	1.441161	1.248535	3.104903	0.088890	0.299450	7.018748	0.669981	1.053771	0.379587	0.950724	0.546077	0.632458	1.174643	2.130027	
15690000	-2190.353074	45	0.187114	0.106100	0.348109	0.322169	0.098508	0.132936	0.139914	0.047626	0.250000	0.250000	0.250000	0.250000	0.172446	2.456667	0.054777	3.683304	2.437745	0.117386	0.359541	4.890783	1.146523	0.696110	0.165054	8.549070	1.022160	5.663854	0.319270	3.047277	
15720000	-2188.453056	45	0.194687	0.127179	0.397914	0.319583	0.096836	0.136388	0.133650	0.045728	0.250000	0.250000	0.250000	0.250000	0.462929	4.399089	0.993709	4.502513	0.880076	3.258315	0.973873	1.519589	4.600255	0.036679	0.323567	6.612314	1.796354	0.264392	0.931396	0.375535	
15750000	-2191.237009	45	0.175705	0.167758	0.302760	0.304274	0.110062	0.187305	0.131258	0.059931	0.250000	0.250000	0.250000	0.250000	0.368111	1.789782	1.528684	0.199538	0.376388	2.953939	5.172432	0.117295	2.233275	0.042297	1.899404	1.141593	5.437956	0.091588	0.069546	8.389176	
15780000	-2193.642654	45	0.191743	0.131180	0.379631	0.267317	0.115824	0.178881	0.098524	0.082691	0.250000	0.250000	0.250000	0.250000	1.257566	1.893906	0.754706	3.229377	0.485746	1.192787	1.541841	8.135615	1.488480	1.345221	0.499275	9.434106	0.704000	1.172268	0.242659	4.075897	
15810000	-2187.863892	45	0.162055	0.121241	0.243231	0.335908	0.089503	0.126308	0.137029	0.059467	0.250000	0.250000	0.250000	0.250000	0.722326	1.095459	0.415668	7.876415	1.063938	1.629456	0.200891	2.878050	1.677374	2.802478	1.851204	0.044301	1.011597	0.590012	3.880004	0.078643	
15840000	-2192.149443	45	0.176288	0.136428	0.293546	0.284394	0.094107	0.143716	0.151417	0.030937	0.250000	0.250000	0.250000	0.250000	0.738040	1.566729	1.253154	6.813806	0.654218	3.485930	0.894858	1.540656	0.229034	1.583982	1.680286	3.647559	0.346513	1.008132	7.185394	0.006466	
15870000	-2192.305138	45	0.145186	0.117580	0.222067	0.381181	0.099885	0.162438	0.181419	0.087230	0.250000	0.250000	0.250000	0.250000	0.245964	4.164222	0.570237	9.307139	0.666990	1.303861	1.329010	0.616956	0.376406	0.430851	0.647502	4.274813	1.177231	1.888390	7.479841	0.013664	
15900000	-2187.532164	45	0.181975	0.123083	0.263114	0.314377	0.088534	0.140925	0.134074	0.070435	0.250000	0.250000	0.250000	0.250000	0.678690	4.426589	0.464700	8.687397	0.358321	1.350199	0.015419	0.973575	1.893958	0.177286	0.527420	4.817207	0.879484	1.213711	8.494626	0.012141	
15930000	-2188.218988	45	0.209285	0.124722	0.297208	0.322103	0.104834	0.126094	0.124112	0.060850	0.250000	0.250000	0.250000	0.250000	1.497665	3.069878	0.502963	4.503242	0.488306	0.772642	6.110301	0.067490	1.943592	0.030816	1.118324	0.299641	0.180857	5.695692	0.744453	1.635403	
15960000	-2192.606616	45	0.131352	0.152575	0.193527	0.334602	0.108726	0.141687	0.142393	0.053479	0.250000	0.250000	0.250000	0.250000	0.389644	4.750559	0.641842	2.498380	0.106443	1.392362	5.088254	0.193517	0.869096	0.756545	0.532390	1.015191	0.548448	8.427145	2.357301	0.037415	
15990000	-2190.488679	45	0.167967	0.123187	0.208584	0.305990	0.122152	0.144108	0.143582	0.066163	0.250000	0.250000	0.250000	0.250000	2.446893	0.136661	3.532301	0.159525	0.745704	1.310047	0.410465	4.324170	0.432688	0.328295	2.063903	0.403626	1.145148	3.195879	0.979094	9.063780	
16020000	-2188.288667	45	0.194644	0.121157	0.305153	0.366954	0.115995	0.148863	0.139465	0.067925	0.250000	0.250000	0.250000	0.250000	1.969950	1.147829	1.366441	0.475247	0.909053	1.497535	2.285725	0.408670	2.634647	0.135347	0.594743	2.764810	1.159764	2.018010	0.478425	6.359863	
16050000	-2192.798580	45	0.167181	0.152763	0.330642	0.384832	0.116030	0.190594	0.160178	0.052023	0.250000	0.250000	0.250000	0.250000	0.583201	7.629674	1.678622	0.170002	0.192989	5.781701	2.780338	0.105878	0.921128	0.590759	0.610396	2.383221	0.765301	0.325629	0.154546	2.583173	
16080000	-2193.445023	45	0.175887	0.131844	0.259908	0.274399	0.153928	0.164162	0.114230	0.083799	0.250000	0.250000	0.250000	0.250000	0.653620	0.314967	0.943749	6.488166	0.943775	2.782648	0.898549	1.460046	1.268351	6.629250	0.549701	2.051377	0.092098	6.057738	0.744793	3.893627	
16110000	-2189.811439	45	0.227908	0.158037	0.392273	0.290778	0.102881	0.139068	0.146023	0.045034	0.250000	0.250000	0.250000	0.250000	2.663352	0.143063	0.466308	7.398184	0.219661	5.736373	1.354999	0.859497	0.495868	5.267228	1.808586	0.296742	0.711647	2.798363	0.835033	1.557644	
16140000	-2187.735368	45	0.171452	0.136014	0.281377	0.265610	0.110204	0.140362	0.112114	0.057874	0.250000	0.250000	0.250000	0.250000	0.506828	2.576607	1.267534	0.996611	1.621042	0.806535	0.353040	6.566674	2.117386	0.035781	0.144457	7.123877	2.304306	0.182267	0.674056	3.598569	
16170000	-2190.056659	45	0.203805	0.128564	0.341559	0.404502	0.125235	0.148634	0.149941	0.071425	0.250000	0.250000	0.250000	0.250000	3.130899	0.251177	0.706000	8.450595	2.859664	3.795588	1.227325	1.779249	0.230779	3.265443	0.442054	1.672950	0.189179	2.495237	1.233873	0.041414	
16200000	-2190.863674	45	0.160364	0.112841	0.197837	0.363388	0.081623	0.151730	0.137972	0.060364	0.250000	0.250000	0.250000	0.250000	0.328044	3.626482	0.606934	8.226433	0.111951	6.480982	1.241174	6.212771	5.384405	0.058130	0.215947	7.507919	0.621312	5.389323	0.308094	1.412805	
16230000	-2190.426643	45	0.178183	0.104104	0.231547	0.359078	0.082169	0.151179	0.131491	0.062158	0.250000	0.250000	0.250000	0.250000	0.770004	3.620026	1.255686	0.435615	0.339222	2.182861	2.825308	0.442267	1.025324	2.808156	0.437220	2.119401	3.612709	0.032003	0.755035	1.224358	
16260000	-2188.363155	45	0.161360	0.120875	0.312903	0.308434	0.102320	0.133738	0.126941	0.066346	0.250000	0.250000	0.250000	0.250000	0.796140	4.827479	8.086253	0.024951	0.382051	9.802905	0.748868	7.589158	0.923170	0.051950	1.117685	7.932339	0.557704	2.618221	2.051035	0.014633	
16290000	-2189.392943	45	0.172533	0.146360	0.308826	0.353723	0.092357	0.127593	0.170360	0.063063	0.250000	0.250000	0.250000	0.250000	3.101038	0.169485	1.602183	0.104586	0.837377	0.517025	3.629068	0.407454	0.340001	6.864035	0.249871	3.534172	0.966399	6.568604	0.919893	5.432946	
16320000	-2190.227294	45	0.129169	0.133742	0.244757	0.332168	0.081394	0.148285	0.136962	0.062028	0.250000	0.250000	0.250000	0.250000	1.792920	1.645929	0.142148	5.686190	0.807260	1.195564	1.812231	1.648518	0.400298	1.730861	0.103044	4.621684	0.497046	4.747861	0.626586	4.147974	
16350000	-2192.009095	45	0.160469	0.114706	0.293201	0.442564	0.072670	0.114800	0.177006	0.048977	0.250000	0.250000	0.250000	0.250000	1.433881	0.513904	1.402534	1.036891	1.229985	0.713337	2.230540	0.461700	1.271740	0.301300	0.502735	1.072504	0.784113	0.480848	2.160471	0.614254	
16380000	-2189.558628	45	0.195600	0.133733	0.321579	0.417907	0.114933	0.130423	0.146076	0.072797	0.250000	0.250000	0.250000	0.250000	1.264633	1.320605	2.753962	0.050553	3.564042	0.513111	1.213343	0.626625	0.735629	0.068887	2.053447	0.210679	0.770845	1.951313	0.613802	2.130151	
16410000	-2190.887499	45	0.205360	0.116707	0.258890	0.308526	0.129396	0.131267	0.115323	0.081578	0.250000	0.250000	0.250000	0.250000	1.740492	0.171133	1.913599	0.258019	1.205245	4.898446	0.795837	3.747769	0.266592	8.242885	1.050055	4.433054	0.991495	1.710336	0.144565	6.625169	
16440000	-2190.131622	45	0.206091	0.139168	0.448472	0.271751	0.112454	0.130542	0.132296	0.046140	0.250000	0.250000	0.250000	0.250000	0.436832	3.724038	0.522046	4.292188	1.101320	2.774415	0.250084	9.227732	0.172151	7.300844	0.814207	2.108514	0.981037	1.575847	1.545405	0.014261	
16470000	-2188.878081	45	0.211408	0.146690	0.429182	0.301911	0.109657	0.136417	0.126796	0.053075	0.250000	0.250000	0.250000	0.250000	1.093940	6.974176	0.638830	1.627847	3.171745	0.275651	0.669236	1.780659	0.466641	4.353113	0.616788	3.726459	1.282942	0.404121	1.385168	5.920302	
16500000	-2188.256597	45	0.169625	0.122829	0.248046	0.264250	0.102073	0.141883	0.116728	0.069399	0.250000	0.250000	0.250000	0.250000	0.731957	5.486781	2.065336	0.306595	0.927174	0.773050	1.070334	7.049021	1.433576	7.316219	1.850464	0.398898	0.767869	8.911266	1.900715	0.047903	
16530000	-2192.217742	45	0.171361	0.122133	0.300537	0.287837	0.142089	0.137991	0.135186	0.066210	0.250000	0.250000	0.250000	0.250000	0.617606	1.520226	0.915502	1.296327	0.769553	4.773176	1.576567	1.193628	1.735761	0.125804	1.638592	1.060775	3.039442	0.051509	0.210584	7.455988	
16560000	-2193.696564	45	0.188902	0.110930	0.317601	0.366133	0.122502	0.119065	0.122538	0.042449	0.250000	0.250000	0.250000	0.250000	0.558960	8.875564	3.228321	0.064430	1.415164	1.843385	1.513718	5.005244	1.533790	0.322765	0.394793	5.207047	0.677799	5.215259	0.304822	8.137613	
16590000	-2189.983285	45	0.146998	0.134153	0.193735	0.375991	0.101840	0.155935	0.156647	0.073018	0.250000	0.250000	0.250000	0.250000	0.102566	4.086715	0.723434	2.335050	1.424253	0.976354	4.361280	0.232964	3.567805	0.106091	0.218764	4.970766	0.627210	3.628480	0.868901	7.601453	
16620000	-2192.298855	45	0.136651	0.148282	0.312865	0.318644	0.095014	0.144430	0.115648	0.057185	0.250000	0.250000	0.250000	0.250000	2.526452	0.102933	2.228482	0.331543	0.288934	1.777368	1.296640	4.983606	2.428038	0.301970	0.198613	7.678135	1.939934	0.980169	0.423566	4.162268	
16650000	-2189.546971	45	0.172210	0.150736	0.302213	0.361882	0.109765	0.159301	0.164487	0.045819	0.250000	0.250000	0.250000	0.250000	0.336912	4.430325	1.312595	1.889023	2.390927	0.407565	0.383948	6.552128	0.936869	0.606257	1.719179	0.325428	1.438194	5.833667	0.198485	5.535444	
16680000	-2191.487655	45	0.188932	0.103968	0.271096	0.303160	0.107109	0.144639	0.151087	0.067418	0.250000	0.250000	0.250000	0.250000	0.225161	3.712996	0.219699	5.410249	0.360616	4.905801	1.665819	5.707323	1.009148	2.574323	0.667303	2.665226	0.624699	2.637496	0.650164	0.980037	
16710000	-2195.923543	45	0.154499	0.162514	0.272230	0.260761	0.111966	0.110345	0.131509	0.030784	0.250000	0.250000	0.250000	0.250000	0.367307	9.701749	0.356662	8.320736	0.819326	6.161585	0.961517	6.043689	1.080004	7.324784	1.002193	0.976162	1.669299	9.071364	0.751674	8.242655	
16740000	-2187.469780	45	0.185481	0.114406	0.292021	0.307979	0.091290	0.138535	0.126779	0.068870	0.250000	0.250000	0.250000	0.250000	0.624076	3.484941	0.655313	9.444167	6.098986	0.336248	6.353517	0.060606	0.391985	6.499471	0.063518	1.462886	0.341203	6.787897	0.290438	7.331253	
16770000	-2190.745074	45	0.186177	0.159249	0.342151	0.344371	0.131802	0.149331	0.123485	0.058321	0.250000	0.250000	0.250000	0.250000	5.524799	0.044313	0.248958	1.359048	0.752760	6.994423	0.967317	5.774026	1.463395	0.742712	0.446596	8.998502	0.447799	0.165982	0.709974	1.215824	
16800000	-2187.726612	45	0.206020	0.128108	0.329092	0.351582	0.097068	0.145792	0.146064	0.054527	0.250000	0.250000	0.250000	0.250000	0.889142	3.863250	0.414887	6.213811	0.223361	4.195002	1.091787	2.286598	0.998828	4.090730	0.621286	3.015192	0.520681	8.079354	0.991049	0.116934	
16830000	-2195.203461	45	0.138928	0.156881	0.253802	0.434177	0.092234	0.190262	0.159891	0.080473	0.250000	0.250000	0.250000	0.250000	0.919988	3.166063	0.345791	3.132279	0.713529	0.999162	0.786246	3.801182	1.079061	0.821974	0.793121	1.322014	0.512894	2.728158	0.160645	9.286719	
16860000	-2189.279362	45	0.185703	0.136910	0.370631	0.354213	0.094564	0.176955	0.141155	0.055834	0.250000	0.250000	0.250000	0.250000	1.002120	2.978853	0.234776	2.617049	0.557618	5.503166	4.750234	0.161071	0.141591	5.540648	0.223798	8.203982	0.463644	4.869309	0.548860	4.408541	
16890000	-2192.048731	45	0.193619	0.169209	0.324344	0.274507	0.109454	0.184564	0.124102	0.075456	0.250000	0.250000	0.250000	0.250000	0.894887	2.113476	0.103427	4.508957	1.979930	0.491153	0.743413	0.802468	8.245414	0.010259	1.005545	4.491431	0.484960	1.586025	0.189709	1.954278	
16920000	-2188.112755	45	0.158211	0.124251	0.239551	0.362926	0.092313	0.146791	0.161364	0.071466	0.250000	0.250000	0.250000	0.250000	0.270709	2.450672	0.194793	6.356958	3.515087	0.100757	0.773453	3.298357	5.186415	0.040203	0.523227	4.016676	0.654042	1.251598	0.366304	0.155067	
16950000	-2187.049123	45	0.180404	0.127679	0.298253	0.297013	0.092010	0.160299	0.134905	0.057695	0.250000	0.250000	0.250000	0.250000	0.445937	2.503206	0.887682	5.905764	1.808065	0.329081	0.351742	5.709794	6.044451	0.025513	0.220093	1.954975	0.690223	0.301868	1.977773	0.094717	
16980000	-2187.840341	45	0.181502	0.145967	0.269824	0.336147	0.100547	0.137848	0.152604	0.058350	0.250000	0.250000	0.250000	0.250000	0.754924	0.421603	0.853760	6.187828	1.171895	0.578074	1.141972	4.308659	6.858913	0.017383	0.785172	3.699800	0.731213	0.166171	0.228074	0.400768	
17010000	-2188.175784	45	0.182337	0.135013	0.262572	0.271312	0.090408	0.144070	0.130747	0.053015	0.250000	0.250000	0.250000	0.250000	1.393667	0.734883	0.713494	7.227139	1.992687	0.194807	1.509028	1.025775	7.356270	0.024571	0.710370	4.317454	1.820527	0.152946	0.611685	1.155432	
17040000	-2189.228296	45	0.166898	0.135611	0.241562	0.402404	0.106253	0.159311	0.147090	0.078211	0.250000	0.250000	0.250000	0.250000	1.501632	5.075730	0.160217	5.362200	2.776684	0.109995	2.742221	0.409864	6.160530	0.036947	0.619235	2.139261	1.227993	2.410506	0.284117	0.946733	
17070000	-2188.837033	45	0.203884	0.152651	0.393352	0.294894	0.100343	0.152663	0.132098	0.041517	0.250000	0.250000	0.250000	0.250000	0.539556	7.395022	0.549465	7.586615	1.731630	0.632525	0.528249	1.444530	7.197845	0.014450	1.269943	0.591210	1.764210	0.403126	0.340013	0.592138	
17100000	-2188.043429	45	0.173978	0.145262	0.275568	0.279114	0.097654	0.149472	0.127465	0.048050	0.250000	0.250000	0.250000	0.250000	0.346812	5.907878	0.638562	8.867047	1.980976	1.388323	0.935019	1.834343	4.578200	0.058455	1.582594	0.302907	1.329454	0.446297	0.562545	1.967554	
17130000	-2187.513586	45	0.181866	0.128145	0.281116	0.355740	0.089964	0.129722	0.139973	0.066929	0.250000	0.250000	0.250000	0.250000	2.300779	1.028965	0.283449	3.451014	2.004894	0.080146	0.757549	7.185392	0.246126	0.944881	1.349022	0.833613	0.341694	6.650056	0.619930	0.996228	
17160000	-2188.332279	45	0.165315	0.112552	0.262411	0.321613	0.092729	0.142415	0.129780	0.077948	0.250000	0.250000	0.250000	0.250000	1.878673	1.071491	0.089403	8.277528	0.697614	6.778084	0.493988	0.323830	0.189484	8.643191	4.313102	0.026928	1.827922	1.264566	0.532941	4.908482	
17190000	-2190.436120	45	0.166137	0.108845	0.252942	0.441622	0.090473	0.122766	0.152796	0.053747	0.250000	0.250000	0.250000	0.250000	0.750463	1.275267	0.996547	0.335718	4.299880	0.126696	1.719693	1.493347	0.924299	7.812053	0.957173	0.472202	1.946254	0.597737	1.086380	2.874437	
17220000	-2189.545159	45	0.168374	0.114604	0.277395	0.434831	0.101034	0.143920	0.183824	0.070901	0.250000	0.250000	0.250000	0.250000	0.196447	0.446380	0.225223	7.728368	1.596601	0.170359	2.159008	0.285026	1.671131	3.034047	0.663906	3.716288	0.604278	1.014333	5.606314	0.014516	
17250000	-2192.984521	45	0.215786	0.140590	0.395624	0.254775	0.138535	0.113139	0.099752	0.052891	0.250000	0.250000	0.250000	0.250000	0.306559	8.215879	0.484937	3.206757	1.440822	6.668385	0.375617	3.936258	1.801106	0.145578	0.670929	0.729099	0.896590	4.446441	0.448396	0.060249	
17280000	-2191.126731	45	0.198906	0.106403	0.319030	0.293435	0.106775	0.117577	0.141970	0.059270	0.250000	0.250000	0.250000	0.250000	2.678229	0.076444	0.478933	7.297609	7.435722	0.050144	0.593331	0.665654	0.058883	6.523165	0.572187	4.132119	0.955564	0.235758	0.282570	2.029563	
17310000	-2188.754251	45	0.182932	0.135611	0.268552	0.307334	0.080474	0.160414	0.125550	0.060850	0.250000	0.250000	0.250000	0.250000	0.161123	2.871079	0.911055	7.654596	0.667414	0.797006	1.862756	0.966805	0.595881	2.206477	0.497827	0.338581	0.988361	2.340850	2.657058	0.039723	
17340000	-2189.781478	45	0.148705	0.149177	0.320561	0.361924	0.094915	0.136879	0.172301	0.050218	0.250000	0.250000	0.250000	0.250000	0.951495	0.169795	0.521515	7.372654	1.120408	0.658547	1.353821	1.282815	2.346326	0.047362	0.683991	0.771155	0.139829	4.445600	0.218522	6.580487	
17370000	-2194.589789	45	0.197992	0.146287	0.271914	0.307092	0.129209	0.103256	0.134063	0.037591	0.250000	0.250000	0.250000	0.250000	2.083240	0.287772	4.016653	0.018370	0.629071	3.217722	0.128712	4.160000	0.414792	6.616725	0.451747	0.185068	0.240204	1.541934	0.267659	2.172717	
